Amount,BankNameReceived,BankNameSent,City,Currency,CustomerAccountNumber,CustomerAge,DeviceType,Gender,MerchantAccountNumber,MerchantName,PaymentMethod,PaymentMode,Purpose,RemainingBalance,Status,TransactionDate,TransactionID,TransactionTime,TransactionType,AgeGroup,IsSuccess,HighValue,RiskFlag,Anomaly,FraudFlag
15843.93,Canara Bank,Yes Bank,Kolkata,INR,CUST51169712660,21,Android,Male,CUST74930377009,Individual Transfer,QR Scan,P2P,Loan Repayment,180015.14,success,2025-12-02,UPI20251202000161,08:22:14,Debit,Young,1,1,0,-1,Suspicious
14821.51,IndusInd Bank,IDFC FIRST Bank,Jaipur,INR,CUST78665889299,27,POS Device,Male,CUST46556246979,Individual Transfer,Mobile Number,P2P,Loan Repayment,460991.9,success,2025-10-31,UPI20251031000305,12:50:51,Debit,Adult,1,1,0,-1,Suspicious
17575.69,Yes Bank,IDFC FIRST Bank,Mumbai,INR,CUST43788305570,42,Android,Female,CUST73813108571,Individual Transfer,Bank Account,P2P,Loan Repayment,94120.88,success,2025-05-03,UPI20250503000318,11:24:19,Credit,Adult,1,1,0,-1,Suspicious
69208.2,HDFC Bank,Axis Bank,Lucknow,INR,CUST15019768628,45,Web,Male,CUST93326810444,Individual Transfer,Mobile Number,P2P,Salary Transfer,85491.63,success,2025-08-01,UPI20250801000321,13:25:56,Debit,Senior,1,1,1,-1,Suspicious
29979.25,IDFC FIRST Bank,IndusInd Bank,Noida,INR,CUST35102070723,36,Android,Female,CUST38440596479,Individual Transfer,QR Scan,P2P,Loan Repayment,374144.07,success,2025-12-03,UPI20251203000338,15:56:18,Debit,Adult,1,1,0,-1,Suspicious
16496.87,IDFC FIRST Bank,ICICI Bank,Indore,INR,CUST99683887017,66,iOS,Male,CUST91742329128,Individual Transfer,UPI ID,P2P,Salary Transfer,75456.43,success,2025-06-03,UPI20250603000442,15:46:21,Debit,Senior,1,1,0,-1,Suspicious
7959.55,IDFC FIRST Bank,Kotak Mahindra Bank,Jaipur,INR,CUST78598209222,18,iOS,Male,CUST36028648273,Individual Transfer,Bank Account,P2P,Rent,38479.58,success,2025-02-12,UPI20250212000472,13:53:55,Debit,Young,1,1,0,-1,Suspicious
36217.46,HDFC Bank,IndusInd Bank,Coimbatore,INR,CUST77678634635,64,iOS,Female,CUST30186834617,Individual Transfer,UPI ID,P2P,Salary Transfer,202121.91,success,2025-01-24,UPI20250124000514,07:58:22,Debit,Senior,1,1,0,-1,Suspicious
14596.55,IndusInd Bank,Axis Bank,Jaipur,INR,CUST91034192182,67,iOS,Male,CUST36425236320,Individual Transfer,QR Scan,P2P,Loan Repayment,172210.59,success,2025-12-12,UPI20251212000580,19:34:29,Debit,Senior,1,1,0,-1,Suspicious
19333.74,IDFC FIRST Bank,HDFC Bank,Jaipur,INR,CUST87772398819,24,Android,Female,CUST87732795161,Individual Transfer,QR Scan,P2P,Salary Transfer,20332.43,success,2025-09-07,UPI20250907000597,17:53:36,Debit,Young,1,1,0,-1,Suspicious
26805.0,Punjab National Bank,Axis Bank,Kochi,INR,CUST98749110824,54,POS Device,Female,CUST89574308594,Individual Transfer,QR Scan,P2P,Salary Transfer,246035.5,success,2025-01-22,UPI20250122000611,13:58:58,Debit,Senior,1,1,0,-1,Suspicious
39975.27,Canara Bank,Punjab National Bank,Nagpur,INR,CUST20444120651,26,Web,Female,CUST46945961061,Individual Transfer,Bank Account,P2P,Rent,249502.74,success,2025-08-28,UPI20250828000655,22:49:18,Debit,Adult,1,1,1,-1,Suspicious
15627.1,ICICI Bank,Punjab National Bank,Jaipur,INR,CUST68872768301,66,iOS,Male,CUST55777500126,Individual Transfer,QR Scan,P2P,Loan Repayment,361019.52,success,2025-09-12,UPI20250912000697,15:25:50,Debit,Senior,1,1,0,-1,Suspicious
30468.59,ICICI Bank,IndusInd Bank,Delhi,INR,CUST46298022465,44,Android,Male,CUST54389308506,Individual Transfer,UPI ID,P2P,Rent,34603.94,success,2025-07-28,UPI20250728000740,10:52:46,Debit,Adult,1,1,0,-1,Suspicious
13645.0,Bank of Baroda,IndusInd Bank,Jaipur,INR,CUST33927448413,28,Android,Male,CUST20480328816,Individual Transfer,Bank Account,P2P,Salary Transfer,1407.09,success,2025-11-09,UPI20251109000780,18:07:11,Debit,Adult,1,1,0,-1,Suspicious
19415.14,HDFC Bank,Punjab National Bank,Indore,INR,CUST64609933445,53,Android,Female,CUST10522709173,Individual Transfer,QR Scan,P2P,Loan Repayment,325261.09,success,2025-01-24,UPI20250124000826,21:32:53,Debit,Senior,1,1,0,-1,Suspicious
16426.34,IDFC FIRST Bank,State Bank of India,Jaipur,INR,CUST49895848286,18,POS Device,Male,CUST10966489211,Individual Transfer,Bank Account,P2P,Loan Repayment,320262.23,success,2025-05-04,UPI20250504000848,23:32:17,Debit,Young,1,1,0,-1,Suspicious
13922.97,HDFC Bank,Axis Bank,Chennai,INR,CUST11049197365,18,iOS,Female,MERC2087815852,Flipkart,UPI ID,P2M,Education,22646.83,success,2025-02-05,UPI20250205000850,03:50:02,Debit,Young,1,1,0,-1,Suspicious
15077.41,Canara Bank,Axis Bank,Kolkata,INR,CUST98821110418,25,POS Device,Male,CUST16434098620,Individual Transfer,QR Scan,P2P,Salary Transfer,159731.2,success,2025-12-03,UPI20251203000869,12:57:11,Credit,Adult,1,1,0,-1,Suspicious
11669.52,IndusInd Bank,Union Bank of India,Kolkata,INR,CUST84501863046,64,Android,Male,CUST21776747151,Individual Transfer,Bank Account,P2P,Rent,12480.2,failed,2025-06-27,UPI20250627001043,07:22:24,Debit,Senior,0,1,0,-1,Suspicious
12626.07,ICICI Bank,Canara Bank,Chennai,INR,CUST26567699417,70,iOS,Female,CUST98366710587,Individual Transfer,UPI ID,P2P,Loan Repayment,178767.8,success,2025-01-12,UPI20250112001052,17:21:10,Debit,Senior,1,1,0,-1,Suspicious
19834.94,State Bank of India,Yes Bank,Pune,INR,CUST57476433587,54,Android,Male,CUST72391097139,Individual Transfer,QR Scan,P2P,Loan Repayment,151816.59,success,2025-02-04,UPI20250204001056,15:43:46,Debit,Senior,1,1,0,-1,Suspicious
16066.69,ICICI Bank,ICICI Bank,Hyderabad,INR,CUST39348318917,44,POS Device,Male,CUST79585303139,Individual Transfer,QR Scan,P2P,Gift,2489.3,success,2025-06-04,UPI20250604001074,12:49:32,Debit,Adult,1,1,0,-1,Suspicious
23056.47,HDFC Bank,Axis Bank,Patna,INR,CUST56356779472,30,POS Device,Female,CUST17949261938,Individual Transfer,Bank Account,P2P,Salary Transfer,489403.05,pending,2025-02-09,UPI20250209001089,12:19:56,Debit,Adult,0,1,0,-1,Suspicious
13578.13,Canara Bank,HDFC Bank,Surat,INR,CUST14674113919,61,iOS,Female,CUST61451466957,Individual Transfer,QR Scan,P2P,Loan Repayment,419875.6,success,2025-10-20,UPI20251020001174,12:29:57,Debit,Senior,1,1,0,-1,Suspicious
40767.79,ICICI Bank,Yes Bank,Mumbai,INR,CUST88030454533,32,POS Device,Male,CUST41555013516,Individual Transfer,Mobile Number,P2P,Salary Transfer,120421.2,pending,2025-05-04,UPI20250504001224,15:45:24,Debit,Adult,0,1,0,-1,Suspicious
