Amount,BankNameReceived,BankNameSent,City,Currency,CustomerAccountNumber,CustomerAge,DeviceType,Gender,MerchantAccountNumber,MerchantName,PaymentMethod,PaymentMode,Purpose,RemainingBalance,Status,TransactionDate,TransactionID,TransactionTime,TransactionType,AgeGroup,IsSuccess,HighValue,RiskFlag,Anomaly,FraudFlag
348.99,IDFC FIRST Bank,ICICI Bank,Ahmedabad,INR,CUST93774863057,30,POS Device,Male,MERC9703905715,MakeMyTrip,Mobile Number,P2M,Food,109751.36,success,2025-02-22,UPI20250222000001,18:57:34,Debit,Adult,1,0,0,1,Normally
287.89,Kotak Mahindra Bank,Canara Bank,Indore,INR,CUST84987658854,23,Web,Female,MERC9256195745,Swiggy,Mobile Number,P2M,Food,172346.02,success,2025-03-21,UPI20250321000002,11:48:21,Debit,Young,1,0,0,1,Normally
827.77,HDFC Bank,Kotak Mahindra Bank,Ahmedabad,INR,CUST47238118820,58,iOS,Female,MERC9896606039,Local Kirana,QR Scan,P2M,Grocery,177452.31,success,2025-04-30,UPI20250430000003,20:24:17,Debit,Senior,1,0,0,1,Normally
3695.29,Yes Bank,Axis Bank,Patna,INR,CUST56033091279,49,POS Device,Female,CUST96812569967,Individual Transfer,Bank Account,P2P,Rent,285232.7,pending,2025-06-16,UPI20250616000004,20:49:03,Debit,Senior,0,1,0,1,Normally
614.42,IDFC FIRST Bank,Kotak Mahindra Bank,Patna,INR,CUST27650808629,68,POS Device,Female,CUST34169696708,Individual Transfer,Bank Account,P2P,Family Support,23896.65,success,2025-10-27,UPI20251027000005,14:37:25,Debit,Senior,1,0,0,1,Normally
268.41,Yes Bank,State Bank of India,Patna,INR,CUST47450743307,50,Android,Female,MERC4272602734,Local Kirana,Mobile Number,P2M,Recharge,80189.13,success,2025-02-28,UPI20250228000006,18:34:48,Credit,Senior,1,0,0,1,Normally
134.62,Union Bank of India,ICICI Bank,Gurugram,INR,CUST52119777069,33,Android,Male,MERC2028439863,Amazon India,Bank Account,P2M,Grocery,492540.75,success,2025-09-29,UPI20250929000007,21:38:20,Debit,Adult,1,0,0,1,Normally
338.44,Yes Bank,ICICI Bank,Chennai,INR,CUST62878418842,46,POS Device,Male,MERC8086172302,Paytm Mall,QR Scan,P2M,Subscription,270447.19,success,2025-09-01,UPI20250901000008,21:10:16,Credit,Senior,1,0,0,1,Normally
198.13,State Bank of India,Axis Bank,Nagpur,INR,CUST83934584122,48,iOS,Female,CUST89762022746,Individual Transfer,Bank Account,P2P,Personal Transfer,334621.78,success,2025-02-06,UPI20250206000009,18:03:14,Debit,Senior,1,0,0,1,Normally
449.99,Bank of Baroda,Punjab National Bank,Indore,INR,CUST36837774596,46,iOS,Male,CUST83831385071,Individual Transfer,Mobile Number,P2P,Personal Transfer,430524.61,success,2025-01-28,UPI20250128000010,18:41:06,Debit,Senior,1,0,0,1,Normally
125.39,State Bank of India,HDFC Bank,Patna,INR,CUST31726673616,42,Web,Female,MERC2627677155,Uber,Bank Account,P2M,Food,107785.29,success,2025-11-30,UPI20251130000011,23:53:00,Credit,Adult,1,0,0,1,Normally
846.59,IDFC FIRST Bank,Yes Bank,Patna,INR,CUST14540490283,50,iOS,Male,CUST76933533114,Individual Transfer,UPI ID,P2P,Personal Transfer,373393.21,success,2025-09-07,UPI20250907000012,09:18:13,Debit,Senior,1,0,0,1,Normally
696.91,HDFC Bank,Punjab National Bank,Ahmedabad,INR,CUST56025693325,43,iOS,Female,MERC6320115677,Swiggy,Mobile Number,P2M,Education,466721.51,success,2025-10-19,UPI20251019000013,11:38:02,Debit,Adult,1,0,0,1,Normally
956.56,IndusInd Bank,Bank of Baroda,Delhi,INR,CUST81528283622,70,Web,Female,MERC9623534576,MedPlus,UPI ID,P2M,Bills,352083.19,failed,2025-10-16,UPI20251016000014,23:04:34,Credit,Senior,0,0,0,1,Normally
4008.55,Union Bank of India,IDFC FIRST Bank,Hyderabad,INR,CUST18808114191,35,Android,Male,MERC8019198243,Myntra,QR Scan,P2M,Entertainment,250728.03,success,2025-03-21,UPI20250321000015,12:38:13,Debit,Adult,1,1,0,1,Normally
269.76,Punjab National Bank,IDFC FIRST Bank,Patna,INR,CUST48834359262,61,iOS,Female,MERC2536778950,D-Mart,Mobile Number,P2M,Travel,215193.81,success,2025-10-15,UPI20251015000016,01:04:56,Debit,Senior,1,0,0,1,Normally
2624.75,ICICI Bank,IDFC FIRST Bank,Coimbatore,INR,CUST18040895120,32,iOS,Female,MERC8982597239,Reliance Digital,Bank Account,P2M,Travel,59102.78,success,2025-05-02,UPI20250502000017,20:51:51,Credit,Adult,1,1,0,1,Normally
2159.78,Yes Bank,State Bank of India,Ahmedabad,INR,CUST55252701991,25,Web,Male,CUST14033992825,Individual Transfer,Mobile Number,P2P,Personal Transfer,319391.26,success,2025-04-09,UPI20250409000018,14:17:55,Debit,Adult,1,1,1,1,Normally
343.7,IndusInd Bank,Punjab National Bank,Noida,INR,CUST38650131267,22,Web,Female,CUST67398894166,Individual Transfer,UPI ID,P2P,Rent,462518.31,success,2025-09-19,UPI20250919000019,08:57:36,Debit,Young,1,0,0,1,Normally
